         1570699 function calls (1560596 primitive calls) in 1.750 seconds
   Ordered by: standard name
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.001    0.000 _base.py:3080(set_xbound)
       20    0.000    0.000    0.000    0.000 _base.py:3120(get_xlim)
       44    0.000    0.000    0.000    0.000 _base.py:3143(_validate_converted_limits)
       11    0.000    0.000    0.001    0.000 _base.py:3161(set_xlim)
       22    0.000    0.000    0.000    0.000 _base.py:3288(get_xscale)
        7    0.000    0.000    0.000    0.000 _base.py:3449(yaxis_inverted)
        9    0.000    0.000    0.000    0.000 _base.py:3463(get_ybound)
        7    0.000    0.000    0.001    0.000 _base.py:3479(set_ybound)
       20    0.000    0.000    0.000    0.000 _base.py:3519(get_ylim)
       11    0.000    0.000    0.001    0.000 _base.py:3542(set_ylim)
        1    0.000    0.000    0.000    0.000 _base.py:363(_plot_args)
       22    0.000    0.000    0.000    0.000 _base.py:3670(get_yscale)
        3    0.000    0.000    0.000    0.000 _base.py:376(<genexpr>)
        4    0.000    0.000    0.000    0.000 _base.py:3915(set_navigate)
        4    0.000    0.000    0.000    0.000 _base.py:3931(set_navigate_mode)
        4    0.000    0.000    0.050    0.013 _base.py:421(__init__)
       11    0.000    0.000    0.000    0.000 _base.py:4248(get_children)
        4    0.000    0.000    0.000    0.000 _base.py:4279(get_default_bbox_extra_artists)
        4    0.000    0.000    0.000    0.000 _base.py:4299(<listcomp>)
        4    0.001    0.000    0.510    0.128 _base.py:4302(get_tightbbox)
        4    0.000    0.000    0.000    0.000 _base.py:4399(<listcomp>)
       32    0.000    0.000    0.000    0.000 _base.py:576(get_window_extent)
        4    0.000    0.000    0.006    0.001 _base.py:594(_init_axis)
        4    0.000    0.000    0.001    0.000 _base.py:604(set_figure)
        4    0.000    0.000    0.000    0.000 _base.py:624(_set_lim_and_transforms)
  368/200    0.000    0.000    0.001    0.000 _base.py:660(get_xaxis_transform)
       40    0.000    0.000    0.001    0.000 _base.py:684(get_xaxis_text1_transform)
       40    0.000    0.000    0.001    0.000 _base.py:710(get_xaxis_text2_transform)
  431/235    0.000    0.000    0.001    0.000 _base.py:736(get_yaxis_transform)
       47    0.000    0.000    0.001    0.000 _base.py:760(get_yaxis_text1_transform)
       47    0.000    0.000    0.001    0.000 _base.py:786(get_yaxis_text2_transform)
        8    0.000    0.000    0.000    0.000 _base.py:812(_update_transScale)
        4    0.000    0.000    0.000    0.000 _base.py:822(get_position)
        4    0.000    0.000    0.001    0.000 _base.py:846(set_position)
        8    0.000    0.000    0.001    0.000 _base.py:871(_set_position)
        4    0.000    0.000    0.000    0.000 _base.py:898(set_axes_locator)
        8    0.000    0.000    0.000    0.000 _base.py:909(get_axes_locator)
       68    0.000    0.000    0.000    0.000 _base.py:915(_set_artist_props)
        4    0.000    0.000    0.000    0.000 _base.py:925(_gen_axes_patch)
        4    0.000    0.000    0.003    0.001 _base.py:942(_gen_axes_spines)
       20    0.000    0.000    0.003    0.000 _base.py:957(<genexpr>)
        4    0.000    0.000    0.036    0.009 _base.py:960(cla)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:271(__subclasshook__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:367(__subclasshook__)
       43    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       11    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.000    0.000 _dtype.py:319(_name_get)
       78    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
       78    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
      195    0.000    0.000    0.000    0.000 _internal.py:257(__init__)
      195    0.001    0.000    0.001    0.000 _internal.py:260(__array_interface__)
      195    0.001    0.000    0.004    0.000 _internal.py:272(_get_void_ptr)
      195    0.000    0.000    0.004    0.000 _internal.py:289(__init__)
      195    0.000    0.000    0.000    0.000 _internal.py:379(_as_parameter_)
       78    0.000    0.000    0.000    0.000 _internal.py:886(npy_ctypes_check)
       32    0.000    0.000    0.000    0.000 _methods.py:151(_ptp)
      182    0.000    0.000    0.001    0.000 _methods.py:26(_amax)
      118    0.000    0.000    0.001    0.000 _methods.py:30(_amin)
     3019    0.001    0.000    0.016    0.000 _methods.py:34(_sum)
        1    0.000    0.000    0.000    0.000 _methods.py:38(_prod)
       38    0.000    0.000    0.000    0.000 _methods.py:42(_any)
      207    0.000    0.000    0.001    0.000 _methods.py:45(_all)
      420    0.000    0.000    0.000    0.000 _ni_support.py:38(_extend_mode_to_code)
      140    0.001    0.000    0.001    0.000 _ni_support.py:55(_normalize_sequence)
      561    0.001    0.000    0.004    0.000 _ni_support.py:71(_get_output)
      280    0.000    0.000    0.000    0.000 _ni_support.py:86(_check_axis)
       10    0.000    0.000    0.000    0.000 _pylab_helpers.py:100(get_active)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:110(set_active)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:116(<listcomp>)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:30(get_fig_manager)
       12    0.000    0.000    0.000    0.000 _subplots.py:110(get_subplotspec)
        8    0.000    0.000    0.001    0.000 _subplots.py:122(update_params)
        4    0.000    0.000    0.051    0.013 _subplots.py:18(__init__)
        1    0.000    0.000    0.000    0.000 _subplots.py:202(subplot_class_factory)
        2    0.000    0.000    0.000    0.000 _subplots.py:217(<genexpr>)
        3    0.000    0.000    0.000    0.000 _util.py:193(_asarray_validated)
    37187    0.007    0.000    0.015    0.000 abc.py:137(__instancecheck__)
    91/17    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
      253    0.000    0.000    0.001    0.000 artist.py:1005(set_zorder)
      911    0.000    0.000    0.000    0.000 artist.py:1020(sticky_edges)
      155    0.001    0.000    0.001    0.000 artist.py:1043(update_from)
      280    0.001    0.000    0.007    0.000 artist.py:1064(set)
       68    0.000    0.000    0.000    0.000 artist.py:1171(mouseover)
      541    0.000    0.000    0.001    0.000 artist.py:170(convert_xunits)
      541    0.000    0.000    0.001    0.000 artist.py:182(convert_yunits)
     5182    0.001    0.000    0.001    0.000 artist.py:194(axes)
      822    0.000    0.000    0.000    0.000 artist.py:199(axes)
13250/11116    0.006    0.000    0.009    0.000 artist.py:219(stale)
       96    0.000    0.000    0.000    0.000 artist.py:252(_get_clipping_extent_bbox)
       32    0.000    0.000    0.006    0.000 artist.py:269(get_tightbbox)
     2859    0.001    0.000    0.002    0.000 artist.py:338(pchanged)
       68    0.000    0.000    0.000    0.000 artist.py:352(is_transform_set)
      556    0.001    0.000    0.001    0.000 artist.py:360(set_transform)
      267    0.000    0.000    0.000    0.000 artist.py:373(get_transform)
     1375    0.001    0.000    0.003    0.000 artist.py:49(_stale_axes_callback)
        2    0.000    0.000    0.000    0.000 artist.py:669(get_figure)
      639    0.001    0.000    0.001    0.000 artist.py:673(set_figure)
